               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.024755,            0.032513,           0.0020872,             0.90291,             0.86987,             0.92435,             0.70468,            0.021004,            0.028414,           0.0022852,            0.005248,            0.005248,            0.005248
                  50,            0.023532,            0.032296,           0.0023081,             0.88198,             0.87333,             0.92171,             0.72464,            0.019756,            0.029072,           0.0023186,            0.005149,            0.005149,            0.005149
                  51,            0.025104,             0.02995,            0.002722,             0.85877,             0.89245,             0.90801,             0.70056,            0.019987,            0.029787,           0.0024109,             0.00505,             0.00505,             0.00505
                  52,            0.024236,            0.032949,           0.0019652,             0.88394,             0.85806,             0.91137,             0.72246,            0.019425,            0.030894,            0.002512,            0.004951,            0.004951,            0.004951
                  53,            0.024672,            0.033312,           0.0031666,             0.88249,              0.8775,             0.91733,             0.67579,            0.021442,            0.029836,           0.0023738,            0.004852,            0.004852,            0.004852
                  54,            0.023228,            0.032445,           0.0022326,             0.89372,             0.87974,             0.92796,             0.73971,            0.019045,            0.029942,           0.0020538,            0.004753,            0.004753,            0.004753
                  55,            0.022777,            0.033563,           0.0022011,             0.86579,             0.87396,             0.92175,             0.72793,            0.018791,            0.030569,           0.0020636,            0.004654,            0.004654,            0.004654
                  56,             0.02363,            0.032228,           0.0021517,             0.86671,             0.87665,             0.91777,             0.73225,            0.018353,            0.030072,           0.0019706,            0.004555,            0.004555,            0.004555
                  57,            0.022966,            0.031103,           0.0023491,             0.86377,             0.88933,             0.93047,             0.71893,            0.019044,            0.029827,           0.0018785,            0.004456,            0.004456,            0.004456
                  58,            0.022691,            0.032087,           0.0017897,             0.88759,             0.87174,             0.92834,             0.73507,            0.018598,            0.030395,           0.0020673,            0.004357,            0.004357,            0.004357
                  59,            0.021923,              0.0281,           0.0021305,             0.88457,             0.88093,             0.92542,             0.72818,            0.018491,            0.029837,           0.0023749,            0.004258,            0.004258,            0.004258
                  60,            0.022229,            0.029478,           0.0019993,             0.86458,             0.90286,             0.92846,             0.72884,            0.018493,            0.029795,           0.0021763,            0.004159,            0.004159,            0.004159
                  61,            0.022747,            0.031301,            0.001734,             0.88905,             0.87669,             0.92559,             0.72485,            0.019834,            0.030436,           0.0022804,             0.00406,             0.00406,             0.00406
                  62,             0.02307,            0.030476,           0.0016808,             0.88016,             0.87858,             0.92743,             0.72855,            0.018479,            0.029561,           0.0024078,            0.003961,            0.003961,            0.003961
